GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0051603	proteolysis involved in cellular protein catabolic process	biological_process	1E0		lcl|c218119_g1_i3|m.5570,lcl|c216702_g5_i1|m.4730,lcl|c243149_g1_i2|m.30670	
GO:0006511	ubiquitin-dependent protein catabolic process	biological_process	1E0		lcl|c216702_g5_i1|m.4730	
GO:0009056	catabolic process	biological_process	1E0		lcl|c218119_g1_i3|m.5570,lcl|c216702_g5_i1|m.4730,lcl|c223433_g6_i1|m.9115,lcl|c238111_g1_i1|m.24102,lcl|c243149_g1_i2|m.30670	
GO:0009057	macromolecule catabolic process	biological_process	1E0		lcl|c218119_g1_i3|m.5570,lcl|c216702_g5_i1|m.4730,lcl|c223433_g6_i1|m.9115,lcl|c243149_g1_i2|m.30670	
GO:0009058	biosynthetic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c218703_g1_i4|m.5907,lcl|c237215_g1_i1|m.23031,lcl|c219556_g4_i5|m.6447,lcl|c211022_g1_i7|m.2328,lcl|c210226_g1_i1|m.2139,lcl|c218820_g4_i2|m.5974,lcl|c236134_g1_i2|m.21741,lcl|c223077_g2_i1|m.8858,lcl|c237832_g1_i6|m.23803,lcl|c218481_g4_i6|m.5811,lcl|c231281_g6_i3|m.16097,lcl|c229060_g1_i1|m.13927	
GO:0009059	macromolecule biosynthetic process	biological_process	1E0		lcl|c241500_g1_i1|m.28663,lcl|c224289_g1_i1|m.9705,lcl|c237832_g1_i6|m.23803,lcl|c218703_g1_i4|m.5907,lcl|c218481_g4_i6|m.5811,lcl|c211022_g1_i7|m.2328,lcl|c218820_g4_i2|m.5974,lcl|c223077_g2_i1|m.8858	
GO:0006518	peptide metabolic process	biological_process	1E0		lcl|c224289_g1_i1|m.9705,lcl|c237832_g1_i6|m.23803,lcl|c218703_g1_i4|m.5907,lcl|c218481_g4_i6|m.5811,lcl|c211022_g1_i7|m.2328,lcl|c218820_g4_i2|m.5974,lcl|c223077_g2_i1|m.8858	
GO:0006520	cellular amino acid metabolic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
GO:0009060	aerobic respiration	biological_process	1E0		lcl|c226769_g3_i1|m.11767,lcl|c221482_g1_i3|m.7664	
GO:0043086	negative regulation of catalytic activity	biological_process	1E0		lcl|c242001_g1_i2|m.29236	
GO:0009064	glutamine family amino acid metabolic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
GO:0009066	aspartate family amino acid metabolic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
GO:0009067	aspartate family amino acid biosynthetic process	biological_process	1E0		lcl|c237215_g1_i1|m.23031	
